SMILES,MW,LogP,SA,Unobstructed,Orthogonal_Planes,H_Bond_Bridging,Optimized_SMILES
N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1,204.192,0.0823200000000001,2.6,1,1,0,FC1=CC(F)=CC(I)=C1
C1=CC=C2C(=C1)C=CC1=CC=CC=C12,178.23399999999998,3.993000000000002,2.4,1,1,0,N#CC1=C(C#N)C(C#N)=C(C#N)C(C#N)=C1C#N
O=C(O)C(=O)O,90.03399999999999,-0.8443999999999998,1.6,1,1,0,IC1=CC=CC2=CC=CC=C12
C1=CC2=CC=CC3=C2C(=C1)CC3,154.21199999999993,2.938400000000001,2.2,1,1,0,O=CC1=CC(F)=CC=C1I
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,245.876,2.5166,2.2,1,1,0,C1=CSC(=C2SC=CS2)S1
N#CC1=CC(C#N)=C(C#N)C=C1C#N,178.154,1.17332,2.4,1,1,0,CC1=CC=CC(I)=C1
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,202.256,4.584000000000002,2.6,1,1,0,O=CC1=CC(F)=CC=C1I
FC1=C(F)C(I)=C(F)C(F)=C1I,401.866,3.4522,2.2,1,1,0,IC1=CC=CC=C1Br
C#CC(=O)O,70.047,-0.2958,1.5,1,1,0,FC(F)(Br)C(F)(F)Br
N#CC(C#N)=C1C(F)=C(F)C(=C(C#N)C#N)C(F)=C1F,276.152,0.6387200000000002,3.0,1,1,0,FC1=CC=C(I)C=C1
C1=CC=C2C=C3C=CC=CC3=CC2=C1,178.23399999999995,3.993000000000002,2.4,1,1,0,N#CC(C#N)=C1C=C(F)C(=C(C#N)C#N)C=C1F
O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,218.11999999999995,-0.5045999999999999,2.6,1,1,0,N#CC1=NC(C2=NC(C#N)=NC(C#N)=N2)=NC(C#N)=N1
C1CSCCS1,120.242,1.4664,1.6,1,1,0,CC(C)(C)CI
