SMILES,Optimized_SMILES,MW_Original,MW_Optimized,LogP_Original,LogP_Optimized,SA,Score,MedianProb,IsNew,Novelty
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,O=CC1=CC(F)=CC=C1I,202.256,250.01,4.584000000000002,2.2428,2.6,-0.8671999999999911,0.762,True,0.9
C1=C2CCC3=C2C2=C(C=C3)SSC2=C1,IC1=CSSS1,216.33,248.135,4.0512000000000015,3.2635000000000005,2.4,-3.0285000000000095,0.82,True,0.821
BrC1=CC(F)=CC(Cl)=C1,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,209.445,245.876,3.241600000000001,2.5166,1.9,-4.240599999999995,0.822,True,0.88
CC(C)(C)CI,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,198.047,245.876,2.4675,2.5166,1.6,-4.540599999999996,0.822,True,1.0
IC1=CC=CC=C1F,II,222.0,253.808,2.430300000000001,1.7714,1.8,-4.736599999999993,0.867,True,0.938
FC1=CC(F)=C(F)C(I)=C1F,BrC1=CC=C(F)C=C1Br,275.97,253.896,2.8476,3.3507000000000007,2.1,-4.846699999999988,0.829,True,0.8
C1=CSC(=C2SC=CS2)S1,BrCCCCCCBr,204.366,243.97,4.0154000000000005,3.3366000000000025,2.0,-6.866600000000004,0.715,True,1.0
NC(=O)C(Br)(Br)Br,IC1=CC(Cl)=CC=C1F,295.756,256.445,1.3102,3.0837000000000003,1.7,-7.328699999999993,0.823,True,0.964
FC1=CC=C(I)C(F)=C1F,FC1=CC=C(I)C(F)=C1F,257.98,257.98,2.7085,2.7085,2.0,-8.188500000000019,0.797,True,0.0
O=[N+]([O-])C(Br)(Br)Br,FC1=CC=C(F)C(I)=C1F,297.728,257.98,2.0591,2.7085,1.7,-8.48850000000002,0.797,True,0.96
